Id;Name;Latitude;Longitude;Country_ISO;Population
2151443;Rockdale;-33.95;151.13333;AU;15436
2151576;Ringwood;-37.81667;145.23333;AU;17242
2151649;Richmond;-37.81819;145.00176;AU;27878
2151716;Reservoir;-37.71667;145;AU;50092
2152329;Quakers Hill;-33.73333;150.88333;AU;26904
2152558;Preston;-37.75;145.01667;AU;32499
2152658;Port Melbourne;-37.83961;144.94228;AU;15817
2152659;Port Macquarie;-31.43084;152.90894;AU;45692
2152819;Point Cook;-37.91482;144.75088;AU;49436
2153720;Pascoe Vale;-37.73333;144.93333;AU;16850
2153925;Palm Beach;-28.11694;153.46584;AU;15205
2153953;Pakenham;-38.07018;145.47411;AU;45895
2154219;Orange;-33.28397;149.10018;AU;38408
2154912;North Melbourne;-37.79798;144.94512;AU;15395
2155001;Northcote;-37.76667;145;AU;24115
2155204;Noble Park;-37.96667;145.16667;AU;30921
2155472;Newcastle;-32.92953;151.7801;AU;308308
2155542;Nerang;-27.98941;153.33633;AU;16739
2155718;Narre Warren;-38.03333;145.3;AU;26389
2155787;Narangba;-27.20338;152.95923;AU;18217
2156340;Mulgrave;-37.92845;145.17708;AU;17647
2156492;Mount Waverley;-37.87709;145.12939;AU;33149
2156578;Mount Martha;-38.26667;145.01667;AU;17788
2156643;Mount Gambier;-37.8318;140.77919;AU;25030
2156663;Mount Eliza;-38.18333;145.08333;AU;17358
2156671;Mount Druitt;-33.76667;150.81667;AU;16682
2156813;Mosman;-33.83902;151.23956;AU;27844
2156878;Mornington;-38.21792;145.03876;AU;23245
2156934;Morayfield;-27.10876;152.94907;AU;21221
2156942;South Morang;-37.65;145.1;AU;23874
2156977;Mooroolbark;-37.78247;145.31682;AU;21503
2157410;Mitcham;-37.81667;145.2;AU;15861
2157495;Miranda;-34.03857;151.10005;AU;15111
